label,n_trades,win_rate,profit_factor,avg_win,avg_loss,net_pnl,total_fees,max_drawdown,sharpe,ev_per_trade,tp_pct,sl_pct,time_pct,avg_hold_bars,mae_avg,mae_p95,fee_drag_pct,pairs_run,pairs_skipped,zscore_thresh,oos_n_trades,oos_win_rate,oos_profit_factor,oos_net_pnl,oos_ev_per_trade
z>=2.5,1378,73.3,2.005,21.333,-29.208,10797.67,2756.0,-524.28,8.269,7.836,72.2,7.5,0,10.9,-16.713,-67.811,20.3,30,0,2.5,431,77.5,3.81,6980.44,16.196
z>=2.7,1179,74.1,2.206,22.587,-29.344,10791.38,2358.0,-420.09,8.681,9.153,73.3,5.9,0,11.0,-16.702,-68.514,17.9,30,0,2.7,373,78.8,3.855,6412.24,17.191
z>=2.8,1083,73.8,2.229,23.089,-29.139,10172.97,2166.0,-484.2,8.473,9.393,73.1,5.5,0,10.9,-16.991,-69.719,17.6,30,0,2.8,346,78.6,3.871,6093.77,17.612
z>=3.0,908,73.6,2.249,23.683,-29.308,8786.38,1816.0,-560.79,7.699,9.677,72.9,5.0,0,11.0,-17.639,-71.325,17.1,30,0,3.0,302,77.8,3.919,5282.32,17.491
